Parent Culture,Base Medium,Container ID (calculated),Container Type,Control?,Culture Type,Experiment,Feed Medium #1,Reactor/Plate/Flask Number,Replicate #,Seed,Strain Batch,Initial Culture VolumeNone,Culture Volume Unit,Temperature Setpoint (C),Feed #1 Profile,pH Setpoint,pH Control Base Solution,Minimum Aeration (slpm),Maximum Aeration (slpm),Minimum Stirring or Shaking Speed (rpm),Maximum Stirring or Shaking Speed (rpm),Aeration Gas Type
DDB_PD_121_AMBR_DDB35-006_R05_Main_,DDB_BM_016,R05,AMBR 250,Yes,Main,DDB_PD_121_AMBR,DDB_FM_016,R05,1,DDB_PD_121_AMBR_DDB35-006_R13_Pre-Final_,DDB35-006,100,mL,30,DDB_Feed_Profile_DDB_PD_117_AMBR,6.5,Ammonium hydroxide 8%,0.15,0.15,4000,4000,Air
DDB_PD_121_AMBR_DDB35-006_R06_Main_,DDB_BM_015,R06,AMBR 250,No,Main,DDB_PD_121_AMBR,DDB_FM_016,R06,1,DDB_PD_121_AMBR_DDB35-006_R13_Pre-Final_,DDB35-006,100,mL,30,DDB_Feed_Profile_DDB_PD_117_AMBR,6.5,Ammonium hydroxide 8%,0.15,0.15,4000,4000,Air
DDB_PD_121_AMBR_SDT173-002_R07_Main_,DDB_BM_015,R07,AMBR 250,No,Main,DDB_PD_121_AMBR,DDB_FM_016,R07,1,DDB_PD_121_AMBR_SDT173-002_R14_Pre-Final_,SDT173-002,100,mL,30,DDB_Feed_Profile_DDB_PD_117_AMBR,6.5,Ammonium hydroxide 8%,0.15,0.15,4000,4000,Air
DDB_PD_121_AMBR_SDT173-002_R08_Main_,DDB_BM_015,R08,AMBR 250,No,Main,DDB_PD_121_AMBR,DDB_FM_016,R08,1,DDB_PD_121_AMBR_SDT173-002_R14_Pre-Final_,SDT173-002,100,mL,30,DDB_Feed_Profile_DDB_PD_117_AMBR,6.5,Ammonium hydroxide 8%,0.15,0.15,4000,4000,Air
DDB_PD_121_AMBR_SDT178-002_R09_Main_,DDB_BM_015,R09,AMBR 250,No,Main,DDB_PD_121_AMBR,DDB_FM_016,R09,1,DDB_PD_121_AMBR_SDT178-002_R15_Pre-Final_,SDT178-002,100,mL,30,DDB_Feed_Profile_DDB_PD_117_AMBR,6.5,Ammonium hydroxide 8%,0.15,0.15,4000,4000,Air
DDB_PD_121_AMBR_SDT178-002_R10_Main_,DDB_BM_015,R10,AMBR 250,No,Main,DDB_PD_121_AMBR,DDB_FM_016,R10,1,DDB_PD_121_AMBR_SDT178-002_R15_Pre-Final_,SDT178-002,100,mL,30,DDB_Feed_Profile_DDB_PD_117_AMBR,6.5,Ammonium hydroxide 8%,0.15,0.15,4000,4000,Air
DDB_PD_121_AMBR_SDT180-003_R11_Main_,DDB_BM_016,R11,AMBR 250,Yes,Main,DDB_PD_121_AMBR,DDB_FM_016,R11,1,DDB_PD_121_AMBR_SDT180-003_R16_Pre-Final_,SDT180-003,100,mL,30,DDB_Feed_Profile_DDB_PD_117_AMBR,6.5,Ammonium hydroxide 8%,0.15,0.15,4000,4000,Air
DDB_PD_121_AMBR_SDT180-003_R12_Main_,DDB_BM_015,R12,AMBR 250,No,Main,DDB_PD_121_AMBR,DDB_FM_016,R12,1,DDB_PD_121_AMBR_SDT180-003_R16_Pre-Final_,SDT180-003,100,mL,30,DDB_Feed_Profile_DDB_PD_117_AMBR,6.5,Ammonium hydroxide 8%,0.15,0.15,4000,4000,Air
DDB_PD_121_AMBR_SDT201-002_R13_Main_,DDB_BM_015,R13,AMBR 250,No,Main,DDB_PD_121_AMBR,DDB_FM_016,R13,1,DDB_PD_121_AMBR_SDT201-002_R17_Pre-Final_,SDT201-002,100,mL,30,DDB_Feed_Profile_DDB_PD_117_AMBR,6.5,Ammonium hydroxide 8%,0.15,0.15,4000,4000,Air
DDB_PD_121_AMBR_SDT201-002_R14_Main_,DDB_BM_015,R14,AMBR 250,No,Main,DDB_PD_121_AMBR,DDB_FM_016,R14,1,DDB_PD_121_AMBR_SDT201-002_R17_Pre-Final_,SDT201-002,100,mL,30,DDB_Feed_Profile_DDB_PD_117_AMBR,6.5,Ammonium hydroxide 8%,0.15,0.15,4000,4000,Air
DDB_PD_121_AMBR_SDT202-002_R15_Main_,DDB_BM_015,R15,AMBR 250,No,Main,DDB_PD_121_AMBR,DDB_FM_016,R15,1,DDB_PD_121_AMBR_SDT202-002_R18_Pre-Final_,SDT202-002,100,mL,30,DDB_Feed_Profile_DDB_PD_117_AMBR,6.5,Ammonium hydroxide 8%,0.15,0.15,4000,4000,Air
DDB_PD_121_AMBR_SDT202-002_R16_Main_,DDB_BM_015,R16,AMBR 250,No,Main,DDB_PD_121_AMBR,DDB_FM_016,R16,1,DDB_PD_121_AMBR_SDT202-002_R18_Pre-Final_,SDT202-002,100,mL,30,DDB_Feed_Profile_DDB_PD_117_AMBR,6.5,Ammonium hydroxide 8%,0.15,0.15,4000,4000,Air
